"Station","Date","Time","Interval","Air max","Air max time","Air min","Air min time","Air avg","RH avg","Precip","Chill hrs","Hrs 32F","Hrs 85F","Hrs 95F"
20140405,2400,1440,69,15:35,43,05:44,55,78,0.00,2.3,0.0,0.0,0.00,
20140406,2400,1440,77,16:22,44,03:26,59,74,0.00,1.8,0.0,5.5,0.00,
20140407,2400,1440,88,16:02,46,05:40,66,67,0.00,0.0,0.0,4.8,0.00,
20140408,2400,1440, , , , , , , , , , , ,
20140409,2400,1440,90,15:08,51,05:23,71,55,0.00,0.0,0.0,3.9,0.00,
20140410,2400,1440,89,15:03,52,05:29,71,60,0.00,0.0,0.0,4.6,0.00,
20140411,2400,1440,90,15:44,55,05:58,73,57,0.00,0.0,0.0,4.2,0.00,
20140412,2400,1440,81,15:36,55,05:21,66,63,0.00,0.0,0.0,8.1,0.00,
20140413,2400,1440,79,16:14,50,05:15,63,72,0.00,0.0,0.0,7.0,0.00,
20140414,2400,1440,88,15:23,48,04:47,68,60,0.00,0.0,0.0,5.3,0.00,
20140415,2400,1440,88,15:22,54,05:46,70,51,0.00,0.0,0.0,3.8,0.00,
20140416,2400,1440,86,15:29,48,05:18,68,58,0.00,0.0,0.0,4.9,0.00,
20140417,2400,1440,88,14:38,48,05:17,70,56,0.00,0.0,0.0,6.1,0.00,
20140418,2400,1440,84,15:01,58,05:02,69,57,0.00,0.0,0.0,9.4,0.00,
20140419,2400,1440,84,15:04,52,05:31,68,53,0.00,0.0,0.0,10.6,0.00,
20140420,2400,1440,84,15:22,46,05:18,64,66,0.00,0.0,0.0,8.5,0.00,
20140421,2400,1440,85,12:13,48,04:45,67,57,0.00,0.0,0.0,10.5,0.00,
20140422,2400,1440,71,15:32,53,24:00,62,46,0.00,0.0,0.0,.6,0.00,
20140423,2400,1440,75,15:23,45,04:51,60,51,0.00,.4,0.0,5.3,0.00,
20140424,2400,1440,81,14:58,46,05:27,65,58,0.00,0.0,0.0,7.8,0.00,
20140425,2400,1440,64,12:26,47,22:41,56,93,.41,0.0,0.0,0.0,0.00,
20140426,2400,1440,67,15:32,46,02:20,55,81,.06,0.0,0.0,0.0,0.00,
20140427,2400,1440,74,15:57,44,05:15,59,65,0.00,1.2,0.0,4.8,0.00,
20140428,2400,1440,77,15:27,47,05:25,62,66,0.00,0.0,0.0,6.9,0.00,
20140429,2400,1440,87,16:03,45,05:26,66,69,0.00,0.0,0.0,5.7,0.00,
20140430,2400,1440,94,15:50,50,04:18,71,61,0.00,0.0,0.0,3.8,0.00,
20140501,2400,1440,95,15:37,52,05:10,74,57,0.00,0.0,0.0,3.4,.16,
20140502,2400,1440,96,15:15,50,05:21,75,46,0.00,0.0,0.0,3.3,.84,
20140503,2400,1440,90,13:11,59,05:31,73,47,0.00,0.0,0.0,4.2,0.00,
20140504,2400,1440,80,15:01,51,05:32,66,58,0.00,0.0,0.0,8.4,0.00,
20140505,2400,1440,77,14:49,55,04:23,64,58,0.00,0.0,0.0,6.7,0.00,
20140506,2400,1440,72,15:20,50,02:49,59,66,0.00,0.0,0.0,.9,0.00,
20140507,2400,1440,79,15:22,43,05:13,63,62,0.00,.5,0.0,8.2,0.00,
20140508,2400,1440,80,14:06,52,05:34,66,55,0.00,0.0,0.0,8.8,0.00,
20140509,2400,1440,80,15:10,58,23:59,69,60,0.00,0.0,0.0,10.0,0.00,
20140510,2400,1440,76,13:52,50,05:10,63,48,0.00,0.0,0.0,6.7,0.00,
20140511,2400,1440,82,15:20,49,05:24,65,43,0.00,0.0,0.0,8.0,0.00,
20140512,2400,1440,89,14:54,46,04:54,68,49,0.00,0.0,0.0,4.5,0.00,
20140513,2400,1440,95,16:02,49,05:00,72,53,0.00,0.0,0.0,3.4,0.00,
20140514,2400,1440,99,15:30,52,04:43,75,51,0.00,0.0,0.0,2.8,4.30,
20140515,2400,1440,100,14:35,55,05:01,79,43,0.00,0.0,0.0,5.2,5.41,
20140516,2400,1440,98,14:21,53,05:17,77,34,0.00,0.0,0.0,5.2,3.64,
20140517,2400,1440,91,14:52,51,05:22,74,34,0.00,0.0,0.0,4.2,0.00,
20140518,2400,1440,84,14:15,59,03:50,70,44,0.00,0.0,0.0,11.6,0.00,
20140519,2400,1440,81,14:27,49,04:43,66,50,0.00,0.0,0.0,9.7,0.00,
20140520,2400,1440,77,14:44,48,04:44,65,57,0.00,0.0,0.0,7.0,0.00,
20140521,2400,1440,80,13:55,55,23:46,67,63,0.00,0.0,0.0,10.0,0.00,
20140522,2400,1440,87,14:48,55,00:59,71,58,0.00,0.0,0.0,11.4,0.00,
20140523,2400,1440,92,15:24,53,05:09,73,56,0.00,0.0,0.0,4.4,0.00,
20140524,2400,1440,92,15:24,56,05:00,77,51,0.00,0.0,0.0,5.0,0.00,
20140525,2400,1440,95,15:23,58,04:26,79,48,0.00,0.0,0.0,5.0,.88,
20140526,2400,1440,97,14:59,56,05:04,79,40,0.00,0.0,0.0,5.2,2.09,
20140527,2400,1440,97,14:39,59,05:09,78,26,0.00,0.0,0.0,4.0,1.86,
20140528,2400,1440,86,14:43,51,23:39,71,31,0.00,0.0,0.0,11.1,0.00,
20140529,2400,1440,88,15:14,42,03:52,65,49,0.00,1.4,0.0,5.2,0.00,
20140530,2400,1440,94,15:08,47,04:06,72,42,0.00,0.0,0.0,4.2,0.00,
20140531,2400,1440,89,15:22,53,05:17,70,47,0.00,0.0,0.0,4.1,0.00,
20140601,2400,1440,95,15:01,48,04:28,73,46,0.00,0.0,0.0,3.5,0.00,
20140602,2400,1440,95,14:58,50,05:04,74,43,0.00,0.0,0.0,3.5,0.00,
20140603,2400,1440,90,15:20,52,04:48,71,40,0.00,0.0,0.0,5.0,0.00,
20140604,2400,1440,94,14:58,54,04:12,75,0,0.00,0.0,0.0,4.1,0.00,
20140605,2400,1440,99,14:28,55,04:52,80,0,0.00,0.0,0.0,4.9,4.87,
20140606,2400,1440,97,13:33,55,05:07,79,0,0.00,0.0,0.0,5.4,3.29,
20140607,2400,1440,97,14:35,58,03:37,78,0,0.00,0.0,0.0,4.4,3.31,
20140608,2400,1440,102,15:07,58,05:14,81,0,0.00,0.0,0.0,4.4,6.36,
20140609,2400,1440,106,15:29,61,04:20,84,0,0.00,0.0,0.0,4.7,8.01,
20140610,2400,1440, , , , , , , , , , , ,
20140611,2400,1440,95,15:29,60,04:17,78,0,0.00,0.0,0.0,5.0,0.00,
20140612,2400,1440,88,14:54,60,05:15,74,0,0.00,0.0,0.0,5.2,0.00,
20140613,2400,1440,87,15:21,54,05:07,72,0,0.00,0.0,0.0,5.6,0.00,
20140614,2400,1440,89,15:01,53,05:16,72,0,0.00,0.0,0.0,5.1,0.00,
20140615,2400,1440,89,15:16,55,03:57,74,0,0.00,0.0,0.0,5.2,0.00,
20140616,2400,1440,84,15:05,53,04:58,70,0,0.00,0.0,0.0,12.5,0.00,
20140617,2400,1440,81,15:28,49,04:36,67,0,0.00,0.0,0.0,10.1,0.00,
20140618,2400,1440,88,15:00,50,04:57,71,0,0.00,0.0,0.0,5.5,0.00,
20140619,2400,1440,96,14:57,52,04:43,76,0,0.00,0.0,0.0,3.4,.46,
20140620,2400,1440,95,15:14,54,04:38,76,0,0.00,0.0,0.0,3.6,.13,
20140621,2400,1440,95,14:04,56,05:23,76,0,0.00,0.0,0.0,4.1,0.00,
20140622,2400,1440,95,15:11,49,04:38,75,0,0.00,0.0,0.0,4.3,0.00,
20140623,2400,1440,93,15:54,55,05:02,76,0,0.00,0.0,0.0,4.4,0.00,
20140624,2400,1440,95,14:53,61,03:56,79,0,0.00,0.0,0.0,4.6,0.00,
20140625,2400,1440,95,15:01,62,05:21,78,0,0.00,0.0,0.0,4.9,0.00,
20140626,2400,1440,86,15:04,64,04:56,74,0,0.00,0.0,0.0,7.2,0.00,
20140627,2400,1440,90,15:32,59,04:38,76,0,0.00,0.0,0.0,5.6,0.00,
20140628,2400,1440,93,15:14,63,05:15,77,0,0.00,0.0,0.0,5.6,0.00,
20140629,2400,1440,97,16:28,55,05:10,78,0,0.00,0.0,0.0,3.8,3.10,
20140630,2400,1440,102,15:11,59,04:58,82,0,0.00,0.0,0.0,4.4,6.58,
20140701,2400,1440,103,15:15,61,04:54,84,0,0.00,0.0,0.0,5.0,7.02,
20140702,2400,1440,100,15:14,61,04:22,82,0,0.00,0.0,0.0,5.1,4.99,
20140703,2400,1440,100,15:03,62,05:14,82,0,0.00,0.0,0.0,5.8,5.00,
20140704,2400,1440,103,15:07,60,04:09,83,0,0.00,0.0,0.0,4.0,6.48,
20140705,2400,1440,100,15:11,59,04:35,82,0,0.00,0.0,0.0,5.6,5.53,
20140706,2400,1440,101,13:27,60,05:01,80,0,0.00,0.0,0.0,5.7,1.59,
20140707,2400,1440,86,17:28,65,02:05,75,0,0.00,0.0,0.0,14.2,0.00,
20140708,2400,1440,104,15:09,59,05:03,82,0,0.00,0.0,0.0,4.0,6.69,
20140709,2400,1440,101,15:23,60,04:47,81,0,0.00,0.0,0.0,4.6,5.13,
20140710,2400,1440,96,15:33,62,04:47,79,0,0.00,0.0,0.0,5.9,1.42,
20140711,2400,1440,93,15:17,61,05:18,77,0,0.00,0.0,0.0,5.1,0.00,
20140712,2400,1440,94,14:59,62,04:49,77,0,0.00,0.0,0.0,5.3,0.00,
20140713,2400,1440,99,14:47,61,05:08,81,0,0.00,0.0,0.0,4.4,3.81,
20140714,2400,1440,99,15:08,68,03:35,82,0,0.00,0.0,0.0,6.4,1.82,
20140715,2400,1440,100,14:55,70,04:53,84,0,0.00,0.0,0.0,12.6,3.79,
20140716,2400,1440, , , , , , , , , , , ,
20140717,2400,1440,92,15:39,63,04:29,77,0,0.00,0.0,0.0,5.3,0.00,
20140718,2400,1440,92,15:26,62,05:17,77,0,0.00,0.0,0.0,5.4,0.00,
20140719,2400,1440,95,15:35,64,05:25,79,0,0.00,0.0,0.0,5.8,0.00,
20140720,2400,1440,98,15:32,65,05:13,82,0,0.00,0.0,0.0,8.0,.98,
20140721,2400,1440,94,15:43,64,05:05,79,0,0.00,0.0,0.0,5.0,0.00,
20140722,2400,1440,95,15:25,66,04:55,79,0,0.00,0.0,0.0,6.9,0.00,
20140723,2400,1440,90,15:48,63,05:18,75,0,0.00,0.0,0.0,5.4,0.00,
20140724,2400,1440,95,15:31,59,04:23,77,0,0.00,0.0,0.0,5.0,0.00,
20140725,2400,1440,100,13:59,58,05:12,80,0,0.00,0.0,0.0,4.4,4.39,
20140726,2400,1440,104,15:28,62,05:14,85,0,0.00,0.0,0.0,5.9,7.03,
20140727,2400,1440,104,15:37,63,05:10,84,0,0.00,0.0,0.0,5.9,6.76,
20140728,2400,1440,97,14:01,70,05:01,82,0,0.00,0.0,0.0,13.1,1.00,
20140729,2400,1440,101,14:12,65,05:08,84,0,0.00,0.0,0.0,8.2,6.14,
20140730,2400,1440,99,15:49,75,04:48,84,0,0.00,0.0,0.0,12.7,1.88,
20140731,2400,1440,103,15:23,66,05:15,85,0,0.00,0.0,0.0,7.9,6.02,
20140801,2400,1440,104,15:42,63,05:09,85,0,0.00,0.0,0.0,5.9,6.61,
20140802,2400,1440,103,13:39,63,05:34,85,0,0.00,0.0,0.0,8.2,5.91,
20140803,2400,1440,85,13:37,67,05:01,77,0,0.00,0.0,0.0,17.7,0.00,
20140804,2400,1440,86,15:39,65,23:48,76,0,0.00,0.0,0.0,39.4,0.00,
20140805,2400,1440,93,14:34,60,05:26,77,0,0.00,0.0,0.0,5.3,0.00,
20140806,2400,1440,94,14:22,63,05:36,78,0,0.00,0.0,0.0,6.2,0.00,
20140807,2400,1440,97,14:53,64,05:02,81,0,0.00,0.0,0.0,7.3,.89,
20140808,2400,1440,100,16:03,64,04:28,82,0,0.00,0.0,0.0,6.5,4.30,
20140809,2400,1440,100,14:43,61,05:21,81,0,0.00,0.0,0.0,6.0,4.41,
20140810,2400,1440,97,15:30,57,05:30,78,0,0.00,0.0,0.0,5.2,1.50,
20140811,2400,1440,100,14:57,60,05:38,81,0,0.00,0.0,0.0,4.5,4.68,
20140812,2400,1440,100,15:39,66,05:56,83,0,0.00,0.0,0.0,5.4,5.22,
20140813,2400,1440, , , , , , , , , , , ,
20140814,2400,1440,96,14:56,60,05:30,79,0,0.00,0.0,0.0,5.1,.73,
20140815,2400,1440, , , , , , , , , , , ,
20140816,2400,1440, , , , , , , , , , , ,
20140817,2400,1440, , , , , , , , , , , ,
20140818,2400,1440, , , , , , , , , , , ,
20140819,2400,1440, , , , , , , , , , , ,
20140820,2400,1440,92,15:35,59,05:22,76,0,0.00,0.0,0.0,4.7,0.00,
20140821,2400,1440,95,15:37,59,05:36,77,0,0.00,0.0,0.0,4.7,0.00,
20140822,2400,1440,99,13:39,60,05:29,80,0,0.00,0.0,0.0,4.7,4.92,
20140823,2400,1440,95,14:45,57,05:31,76,0,0.00,0.0,0.0,4.6,0.00,
20140824,2400,1440,94,15:00,57,04:17,76,0,0.00,0.0,0.0,4.0,0.00,
20140825,2400,1440,93,13:19,57,04:48,75,0,0.00,0.0,0.0,3.6,0.00,
20140826,2400,1440,91,14:45,55,05:16,72,0,0.00,0.0,0.0,4.3,0.00,
20140827,2400,1440, , , , , , , , , , , ,
20140828,2400,1440,100,14:53,55,05:30,78,0,0.00,0.0,0.0,4.5,5.55,
20140829,2400,1440,99,13:11,60,05:55,80,0,0.00,0.0,0.0,4.2,4.99,
20140830,2400,1440,101,15:22,60,05:14,79,0,.09,0.0,0.0,5.0,3.29,
20140831,2400,1440,98,14:54,57,05:39,78,0,0.00,0.0,0.0,6.4,.25,
20140901,2400,1440,100,15:28,55,05:50,77,0,0.00,0.0,0.0,3.4,3.89,
20140902,2400,1440,105,15:01,57,05:50,81,0,0.00,0.0,0.0,4.6,6.46,
20140903,2400,1440,98,15:12,58,05:50,77,0,0.00,0.0,0.0,5.3,1.40,
20140904,2400,1440,99,15:19,56,05:52,77,0,0.00,0.0,0.0,3.7,2.84,
20140905,2400,1440,100,14:49,54,05:38,76,0,0.00,0.0,0.0,3.7,4.50,
20140906,2400,1440,101,15:43,56,05:53,77,0,0.00,0.0,0.0,3.9,3.88,
20140907,2400,1440,103,15:35,55,05:42,79,0,0.00,0.0,0.0,4.5,4.61,
20140908,2400,1440,94,15:40,60,23:59,76,0,0.00,0.0,0.0,5.6,0.00,
20140909,2400,1440,95,14:50,52,05:37,71,0,0.00,0.0,0.0,3.2,0.00,
20140910,2400,1440,99,15:11,51,05:34,74,0,0.00,0.0,0.0,3.3,2.38,
20140911,2400,1440,103,15:13,54,05:18,78,0,0.00,0.0,0.0,5.7,5.58,
20140912,2400,1440,103,14:56,55,05:57,78,0,0.00,0.0,0.0,5.9,5.51,
20140913,2400,1440,105,14:58,58,05:25,79,0,0.00,0.0,0.0,5.6,4.79,
20140914,2400,1440,105,14:58,61,05:48,82,0,0.00,0.0,0.0,7.4,5.75,
20140915,2400,1440,105,14:42,61,05:51,82,0,0.00,0.0,0.0,5.3,5.88,
20140916,2400,1440,98,14:42,60,06:03,78,0,0.00,0.0,0.0,5.7,2.50,
20140917,2400,1440,101,14:25,57,05:29,78,0,0.00,0.0,0.0,4.6,4.96,
20140918,2400,1440,92,14:28,58,05:38,75,0,0.00,0.0,0.0,5.9,0.00,
20140919,2400,1440,90,14:29,61,06:07,74,0,0.00,0.0,0.0,5.4,0.00,
20140920,2400,1440,95,15:09,58,04:57,76,0,0.00,0.0,0.0,5.4,0.00,
20140921,2400,1440,92,15:23,56,05:47,74,0,0.00,0.0,0.0,4.8,0.00,
20140922,2400,1440,93,14:57,55,05:56,73,0,0.00,0.0,0.0,4.1,0.00,
20140923,2400,1440,96,14:59,55,05:13,74,0,0.00,0.0,0.0,3.3,0.00,
20140924,2400,1440,95,14:43,59,03:32,74,0,0.00,0.0,0.0,3.4,0.00,
20140925,2400,1440,86,12:40,59,04:15,70,0,0.00,0.0,0.0,9.1,0.00,
20140926,2400,1440,83,14:36,57,23:59,69,0,0.00,0.0,0.0,8.1,0.00,
20140927,2400,1440,82,14:48,52,05:57,65,0,0.00,0.0,0.0,8.1,0.00,
20140928,2400,1440,83,14:24,52,02:28,66,0,.01,0.0,0.0,9.4,0.00,
20140929,2400,1440,85,14:55,51,05:55,66,0,0.00,0.0,0.0,8.9,0.00,
20140930,2400,1440,89,14:41,50,06:00,68,0,0.00,0.0,0.0,11.9,0.00,
20141001,2400,1440,88,14:43,51,06:09,67,0,0.00,0.0,0.0,9.3,0.00,
20141002,2400,1440,96,14:40,48,04:49,69,0,0.00,0.0,0.0,3.3,0.00,
20141003,2400,1440,98,14:39,49,06:01,70,0,0.00,0.0,0.0,3.1,.10,
20141004,2400,1440,97,14:36,49,05:59,71,0,0.00,0.0,0.0,2.7,0.00,
20141005,2400,1440,99,15:15,50,04:16,71,0,0.00,0.0,0.0,2.5,0.00,
20141006,2400,1440,99,15:13,51,05:13,72,0,0.00,0.0,0.0,2.8,.85,
20141007,2400,1440,98,14:09,51,05:49,71,0,0.00,0.0,0.0,2.9,0.00,
20141008,2400,1440,95,14:43,53,05:59,71,0,0.00,0.0,0.0,3.7,0.00,
20141009,2400,1440,95,14:30,51,04:10,70,0,0.00,0.0,0.0,3.1,0.00,
20141010,2400,1440,90,14:45,47,05:36,67,0,0.00,0.0,0.0,4.6,0.00,
20141011,2400,1440,92,14:33,49,05:50,67,0,0.00,0.0,0.0,3.7,0.00,
20141012,2400,1440,89,14:59,50,04:24,66,0,0.00,0.0,0.0,8.2,0.00,
20141013,2400,1440,93,14:40,50,03:54,69,0,0.00,0.0,0.0,3.5,0.00,
20141014,2400,1440,92,13:31,49,06:07,69,0,0.00,0.0,0.0,4.3,0.00,
20141015,2400,1440,82,14:36,54,00:47,65,0,0.00,0.0,0.0,8.0,0.00,
20141016,2400,1440,82,14:22,49,06:09,64,0,0.00,0.0,0.0,7.6,0.00,
20141017,2400,1440,81,13:03,49,06:18,63,0,0.00,0.0,0.0,6.8,0.00,
20141018,2400,1440,83,14:27,50,06:17,63,0,0.00,0.0,0.0,7.3,0.00,
20141019,2400,1440,86,14:46,45,04:49,63,0,0.00,0.0,0.0,8.3,0.00,
20141020,2400,1440,85,14:22,47,05:38,65,0,0.00,0.0,0.0,8.1,0.00,
20141021,2400,1440,78,14:44,46,23:56,61,0,0.00,0.0,0.0,4.6,0.00,
20141022,2400,1440,80,14:44,39,05:07,57,0,0.00,6.0,0.0,5.7,0.00,
20141023,2400,1440,83,15:41,41,05:28,60,0,0.00,3.9,0.0,7.2,0.00,
20141024,2400,1440,86,14:28,41,06:26,62,0,0.00,3.5,0.0,7.8,0.00,
20141025,2400,1440,83,13:35,46,06:38,62,0,0.00,0.0,0.0,5.6,0.00,
20141026,2400,1440,73,14:06,43,23:59,59,0,0.00,.4,0.0,3.1,0.00,
20141027,2400,1440,74,14:29,36,05:59,54,0,0.00,5.8,0.0,3.8,0.00,
20141028,2400,1440,78,14:15,38,05:44,56,0,0.00,6.3,0.0,5.4,0.00,
20141029,2400,1440,81,14:58,39,05:38,58,0,0.00,5.8,0.0,6.7,0.00,
20141030,2400,1440,86,14:40,44,03:29,61,0,0.00,0.0,0.0,7.7,0.00,
20141031,2400,1440,78,13:46,49,06:27,61,0,.51,0.0,0.0,7.0,0.00,
20141101,2400,1440,65,11:20,44,23:41,53,0,.12,.1,0.0,0.0,0.00,
